host,issue,example_url,canonical,indexnow_status,recommended_action
brn.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
brn.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
brn.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
brn.kupeshkafy24.ru,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422","https://kupeshkafy24.ru/","https://kupeshkafy24.ru/",422,EXCLUDE (notify kupeshkafy24.ru)
brn.natyazhnoi-master24.ru,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422","https://natyazhnoi-master24.ru/","https://natyazhnoi-master24.ru/",422,EXCLUDE (notify natyazhnoi-master24.ru)
brn.okna-pvh-online.ru,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422","https://okna-pvh-online.ru/","https://okna-pvh-online.ru/",422,EXCLUDE (notify okna-pvh-online.ru)
brn.perevodkvartiry.ru,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422","https://perevodkvartiry.ru/","https://perevodkvartiry.ru/",422,EXCLUDE (notify perevodkvartiry.ru)
chel.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
chel.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
chel.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
