host,verdict,home_status,redirect_to,canonical,canonical_host,sitemap_locs,sitemap_host,indexnow_status,issues,recommended
brn.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
brn.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
brn.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
brn.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
brn.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
brn.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
brn.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
chel.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
chel.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
chel.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
chel.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
chel.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
chel.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
chel.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
dom-stroy-online.ru,BAD,200,"","https://moskva.dom-stroy-online.ru/",moskva.dom-stroy-online.ru,5,moskva.dom-stroy-online.ru,422,"canonical→moskva.dom-stroy-online.ru; sitemap→moskva.dom-stroy-online.ru; indexnow-422",EXCLUDE (notify moskva.dom-stroy-online.ru)
ekb.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
ekb.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
ekb.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
ekb.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
ekb.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
ekb.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
ekb.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
ipoteka-remont.ru,BAD,200,"","https://moskva.ipoteka-remont.ru/",moskva.ipoteka-remont.ru,5,moskva.ipoteka-remont.ru,422,"canonical→moskva.ipoteka-remont.ru; sitemap→moskva.ipoteka-remont.ru; indexnow-422",EXCLUDE (notify moskva.ipoteka-remont.ru)
kalkremont.ru,BAD,301,"https://www.kalkremont.ru/","",,9040,www.kalkremont.ru,422,"redirect→www.kalkremont.ru; sitemap→www.kalkremont.ru; indexnow-422",EXCLUDE (notify www.kalkremont.ru)
krd.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
krd.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
krd.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
krd.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
krd.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
krd.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
krd.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
kuhni-zakaz-online.ru,BAD,200,"","https://moskva.kuhni-zakaz-online.ru/",moskva.kuhni-zakaz-online.ru,5,moskva.kuhni-zakaz-online.ru,422,"canonical→moskva.kuhni-zakaz-online.ru; sitemap→moskva.kuhni-zakaz-online.ru; indexnow-422",EXCLUDE (notify moskva.kuhni-zakaz-online.ru)
kzn.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
kzn.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
kzn.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
kzn.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
kzn.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
kzn.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
kzn.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
moskva.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
moskva.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
moskva.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
moskva.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
moskva.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
moskva.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
