domain,host,project,is_valid_host,is_bad_host,reason_if_bad,sitemap_url,sitemap_url_count,indexable_url_count,canonical_mode,robots_status,yandex_webmaster_status,google_search_console_status,indexnow_eligible,recrawl_eligible,metrika_counter,lead_forms_present,monetization_slots_present,priority_score
kalkremont.ru,www.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · www",true,false,"",https://www.kalkremont.ru/sitemap.xml,9040,9040,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),yes,no,943
kalkremont.ru,dizayn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · dizayn",true,false,"",https://dizayn.kalkremont.ru/sitemap.xml,615,615,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,248
kalkremont.ru,balkony.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · balkony",true,false,"",https://balkony.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,fasad.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · fasad",true,false,"",https://fasad.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,kondicioner.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kondicioner",true,false,"",https://kondicioner.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,okna.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · okna",true,false,"",https://okna.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,potolki.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · potolki",true,false,"",https://potolki.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,santehnika.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · santehnika",true,false,"",https://santehnika.kalkremont.ru/sitemap.xml,492,492,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,222
kalkremont.ru,demontazh.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · demontazh",true,false,"",https://demontazh.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,dveri.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · dveri",true,false,"",https://dveri.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,elektro.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · elektro",true,false,"",https://elektro.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,kuhni.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kuhni",true,false,"",https://kuhni.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,styazhka.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · styazhka",true,false,"",https://styazhka.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,uborka.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · uborka",true,false,"",https://uborka.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,vannye.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vannye",true,false,"",https://vannye.kalkremont.ru/sitemap.xml,451,451,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,109345156,yes,no,213
kalkremont.ru,moskva.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · moskva",true,false,"",https://moskva.kalkremont.ru/sitemap.xml,321,321,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,143
kalkremont.ru,ufa.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · ufa",true,false,"",https://ufa.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,138
kalkremont.ru,rnd.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · rnd",true,false,"",https://rnd.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,137
kalkremont.ru,kzn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kzn",true,false,"",https://kzn.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,137
kalkremont.ru,perm.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · perm",true,false,"",https://perm.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,136
kalkremont.ru,vlg.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vlg",true,false,"",https://vlg.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,136
kalkremont.ru,nn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · nn",true,false,"",https://nn.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,135
kalkremont.ru,ekb.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · ekb",true,false,"",https://ekb.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,134
kalkremont.ru,nsk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · nsk",true,false,"",https://nsk.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,134
kalkremont.ru,spb.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · spb",true,false,"",https://spb.kalkremont.ru/sitemap.xml,437,437,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,131
kalkremont.ru,chel.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · chel",true,false,"",https://chel.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,128
kalkremont.ru,sam.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sam",true,false,"",https://sam.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,128
kalkremont.ru,vrn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vrn",true,false,"",https://vrn.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,127
