domain,host,is_valid_host,sitemap_url_count,loaded_by_robot,in_search_yandex,excluded_yandex,fatal_problems,index_ratio,indexnow_eligible,recrawl_eligible,wm_status
kalkremont.ru,spb.kalkremont.ru,true,437,0,234,0,0,0.54,true,true,"verified:3problems"
kalkremont.ru,www.kalkremont.ru,true,9040,0,109,2,0,0.01,true,true,"verified:3problems"
kalkremont.ru,moskva.kalkremont.ru,true,321,0,92,0,0,0.29,true,true,"verified:3problems"
kalkremont.ru,ekb.kalkremont.ru,true,205,0,20,0,0,0.10,true,true,"verified:4problems"
kalkremont.ru,nsk.kalkremont.ru,true,205,0,19,0,0,0.09,true,true,"verified:3problems"
kalkremont.ru,nn.kalkremont.ru,true,205,0,18,0,0,0.09,true,true,"verified:3problems"
kalkremont.ru,perm.kalkremont.ru,true,205,0,16,0,0,0.08,true,true,"verified:3problems"
kalkremont.ru,vlg.kalkremont.ru,true,205,0,16,0,0,0.08,true,true,"verified:3problems"
kalkremont.ru,rnd.kalkremont.ru,true,205,0,14,0,0,0.07,true,true,"verified:3problems"
kalkremont.ru,kzn.kalkremont.ru,true,205,0,13,0,0,0.06,true,true,"verified:3problems"
kalkremont.ru,krd.kalkremont.ru,true,176,0,13,0,0,0.07,true,true,"verified:3problems"
kalkremont.ru,tyumen.kalkremont.ru,true,147,0,12,0,0,0.08,true,true,"verified:3problems"
kalkremont.ru,ufa.kalkremont.ru,true,205,0,11,0,0,0.05,true,true,"verified:3problems"
kalkremont.ru,vrn.kalkremont.ru,true,176,0,11,0,0,0.06,true,true,"verified:3problems"
kalkremont.ru,chel.kalkremont.ru,true,176,0,10,0,0,0.06,true,true,"verified:4problems"
kalkremont.ru,sam.kalkremont.ru,true,176,0,9,0,0,0.05,true,true,"verified:4problems"
kalkremont.ru,brn.kalkremont.ru,true,147,0,9,0,0,0.06,true,true,"verified:4problems"
kalkremont.ru,brand.kalkremont.ru,true,9,0,8,0,0,0.89,true,true,"verified:4problems"
kalkremont.ru,price.kalkremont.ru,true,155,0,6,0,0,0.04,true,true,"verified:4problems"
kalkremont.ru,sovety.kalkremont.ru,true,11,0,1,0,0,0.09,true,true,"verified:3problems"
kalkremont.ru,dizayn.kalkremont.ru,true,615,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,balkony.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,fasad.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,kondicioner.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,okna.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:3problems"
kalkremont.ru,potolki.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,santehnika.kalkremont.ru,true,492,0,0,0,0,0.00,true,true,"verified:3problems"
kalkremont.ru,demontazh.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,dveri.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,elektro.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,kuhni.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,styazhka.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
kalkremont.ru,uborka.kalkremont.ru,true,451,0,0,0,0,0.00,true,true,"verified:4problems"
