domain,host,project,is_valid_host,sitemap_url_count,in_search_yandex,index_gap,lead_forms_present,monetization_slots_present,metrika_counter,indexnow_eligible,recrawl_eligible,priority_score,next_action
kalkremont.ru,www.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · www",true,9040,109,8931,yes,no,present(id?),true,true,943,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,dizayn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · dizayn",true,615,0,615,yes,no,109345156,true,true,248,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,balkony.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · balkony",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,fasad.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · fasad",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,kondicioner.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kondicioner",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,okna.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · okna",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,potolki.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · potolki",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,santehnika.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · santehnika",true,492,0,492,yes,no,109345156,true,true,222,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,demontazh.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · demontazh",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,dveri.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · dveri",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,elektro.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · elektro",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,kuhni.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kuhni",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,styazhka.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · styazhka",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,uborka.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · uborka",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,vannye.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vannye",true,451,0,451,yes,no,109345156,true,true,213,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,moskva.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · moskva",true,321,92,229,no,no,present(id?),true,true,143,"ADD lead CTA/form"
kalkremont.ru,ufa.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · ufa",true,205,11,194,no,no,present(id?),true,true,138,"ADD lead CTA/form"
kalkremont.ru,rnd.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · rnd",true,205,14,191,no,no,present(id?),true,true,137,"ADD lead CTA/form"
