host,page_type,total_urls,indexable_urls,submitted_indexnow_24h,submitted_recrawl_24h,yandex_indexed_count,google_indexed_count,impressions_yandex,clicks_yandex,ctr_yandex,impressions_google,clicks_google,ctr_google,metrika_visits,leads,conversion_rate,estimated_value
astr.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
astr.kalkremont.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
astr.kalkremont.ru,city-leaf,12,12,,,,,,,,,,,0,0,0,0
astr.kalkremont.ru,content,5,5,,,,,,,,,,,0,0,0,0
astr.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
balkony.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
balkony.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
balkony.kalkremont.ru,city-leaf,485,485,,,,,,,,,,,0,0,0,0
balkony.kalkremont.ru,ALL,492,492,492,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
brand.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
brand.kalkremont.ru,service-hub,8,8,,,,,,,,,,,0,0,0,0
brand.kalkremont.ru,ALL,9,9,9,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
brn.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
brn.dom-stroy-online.ru,ALL,0,0,0,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
brn.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
brn.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
brn.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
brn.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
brn.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
brn.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
brn.kalkremont.ru,city-leaf,40,40,,,,,,,,,,,0,0,0,0
brn.kalkremont.ru,deep-leaf,100,100,,,,,,,,,,,0,0,0,0
brn.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
brn.kalkremont.ru,ALL,147,147,147,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
brn.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
brn.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
brn.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
brn.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
