url,service,city,query_cluster,money_score,indexed_status,impressions,clicks,leads,current_title,current_h1,recommended_title,recommended_h1,recommended_internal_links
https://www.kalkremont.ru/dizayn-interyera/v-moskve/,Дизайн интерьера,Москва,Дизайн интерьера в Москве,90,HOST_NOT_LOADED,0,0,0,Дизайн интерьера в Москве 2026 — от 2 100 ₽/м² ⭐ 4.8/5,🎨 Дизайн интерьера в Москве,"Дизайн интерьера в Москве: цена за м², смета за 1 день",Дизайн интерьера в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/dizayn-interyera/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/
https://www.kalkremont.ru/remont-vannoy/v-moskve/,Ремонт ванной,Москва,Ремонт ванной в Москве,85,HOST_NOT_LOADED,0,0,0,Ремонт ванной комнаты в Москве 2026 — от 35 000 ₽/м² ⭐ 4.8/5,🛁 Ремонт ванной комнаты в Москве,"Ремонт ванной в Москве: цена за м², смета за 1 день",Ремонт ванной в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/remont-vannoy/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/ ; https://www.kalkremont.ru/natyazhnye-potolki/v-moskve/
https://www.kalkremont.ru/remont-kuhni/v-moskve/,Ремонт кухни,Москва,Ремонт кухни в Москве,82,HOST_NOT_LOADED,0,0,0,Ремонт кухни в Москве 2026 — от 25 200 ₽/м² ⭐ 4.8/5,🍳 Ремонт кухни в Москве,"Ремонт кухни в Москве: цена за м², смета за 1 день",Ремонт кухни в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/remont-kuhni/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/natyazhnye-potolki/v-moskve/
https://www.kalkremont.ru/dizayn-interyera/v-sankt-peterburge/,Дизайн интерьера,Санкт-Петербург,Дизайн интерьера в Санкт-Петербурге,76.5,HOST_NOT_LOADED,0,0,0,Дизайн интерьера в Санкт-Петербурге 2026 — от 1 950 ₽/м² ⭐ 4.8/5,🎨 Дизайн интерьера в Санкт-Петербурге,"Дизайн интерьера в Санкт-Петербурге: цена за м², смета за 1 день",Дизайн интерьера в Санкт-Петербурге,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/dizayn-interyera/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-sankt-peterburge/ ; https://www.kalkremont.ru/remont-kuhni/v-sankt-peterburge/
https://www.kalkremont.ru/remont-vannoy/v-sankt-peterburge/,Ремонт ванной,Санкт-Петербург,Ремонт ванной в Санкт-Петербурге,72.25,HOST_NOT_LOADED,0,0,0,Ремонт ванной комнаты в Санкт-Петербурге 2026 — от 32 500 ₽/м² ⭐ 4.8/5,🛁 Ремонт ванной комнаты в Санкт-Петербурге,"Ремонт ванной в Санкт-Петербурге: цена за м², смета за 1 день",Ремонт ванной в Санкт-Петербурге,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/remont-vannoy/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-kuhni/v-sankt-peterburge/ ; https://www.kalkremont.ru/natyazhnye-potolki/v-sankt-peterburge/
https://www.kalkremont.ru/natyazhnye-potolki/v-moskve/,Натяжные потолки,Москва,Натяжные потолки в Москве,70,HOST_NOT_LOADED,0,0,0,Натяжные потолки в Москве 2026 — от 840 ₽/м² ⭐ 4.8/5,✨ Натяжные потолки в Москве,"Натяжные потолки в Москве: цена за м², смета за 1 день",Натяжные потолки в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/natyazhnye-potolki/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/
https://www.kalkremont.ru/remont-kuhni/v-sankt-peterburge/,Ремонт кухни,Санкт-Петербург,Ремонт кухни в Санкт-Петербурге,69.7,HOST_NOT_LOADED,0,0,0,Ремонт кухни в Санкт-Петербурге 2026 — от 23 400 ₽/м² ⭐ 4.8/5,🍳 Ремонт кухни в Санкт-Петербурге,"Ремонт кухни в Санкт-Петербурге: цена за м², смета за 1 день",Ремонт кухни в Санкт-Петербурге,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/remont-kuhni/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-sankt-peterburge/ ; https://www.kalkremont.ru/natyazhnye-potolki/v-sankt-peterburge/
https://www.kalkremont.ru/zamena-okon/v-moskve/,Замена окон,Москва,Замена окон в Москве,65,HOST_NOT_LOADED,0,0,0,Замена окон в Москве 2026 — от 8 400 ₽/м² ⭐ 4.8/5,🪟 Замена окон в Москве,"Замена окон в Москве: цена за м², смета за 1 день",Замена окон в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/zamena-okon/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/
https://www.kalkremont.ru/ustanovka-dverey/v-moskve/,Установка дверей,Москва,Установка дверей в Москве,60,HOST_NOT_LOADED,0,0,0,Установка дверей в Москве 2026 — от 6 300 ₽/м² ⭐ 4.8/5,🚪 Установка дверей в Москве,"Установка дверей в Москве: цена за м², смета за 1 день",Установка дверей в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/ustanovka-dverey/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/
https://www.kalkremont.ru/elektromontazh/v-moskve/,Электромонтаж,Москва,Электромонтаж в Москве,60,HOST_NOT_LOADED,0,0,0,Электромонтажные работы в Москве 2026 — от 2 100 ₽/м² ⭐ 4.8/5,⚡ Электромонтажные работы в Москве,"Электромонтаж в Москве: цена за м², смета за 1 день",Электромонтаж в Москве,https://www.kalkremont.ru/ ; https://www.kalkremont.ru/elektromontazh/ ; https://www.kalkremont.ru/stoimost-remonta/ ; https://www.kalkremont.ru/remont-vannoy/v-moskve/ ; https://www.kalkremont.ru/remont-kuhni/v-moskve/
